Type,Number Of Attacks
Accomodation Barge,1
Bulk Carrier,51
Container,27
Crew Boat,0
Drilling Ship/Rig,1
General Cargo,13
Heavy Lift Vessel,0
Heavy Load Carrier,1
Landing Craft,0
Maintenance Pontoon,0
Ore Carrier,0
Passenger Craft,0
Pipe Layer Ship / Barge,2
Pleasure Craft,0
Refrigerated Cargo Ship,4
Research Ship,1
RO-RO,0
Supply Ship,8
Support Ship,3
Tanker Asphalt,1
Tanker Bunkering,1
Tanker Chemichal,53
Tanker Crude Oil,10
Tanker FPSO / FSO,1
Tanker LNG,1
Tanker LPG,3
Trawler / Fishing,6
Offshore Tug / Tug & Barge,7
Vehicle Carrier,0
Yacht / Sailing Vessel,0
